Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
1,14msK75pk3pA33pzPVNtBF,1,0.578,0.725,178640,0.321,0.000000,1,0.0884,-10.744,0,0.323,4,0.319,70.142
1,2JvzF1RMd7lE3KmFlsyZD8,2,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
1,3KkXRkHbMCARz0aVfEt68P,3,0.556,0.76,158040,0.479,0.000000,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
1,6MWtB6iiXyIwun0YzU6DFP,4,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
1,5p7ujcrUXASCNwRaWNHR1C,5,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
1,2rPE9A1vEgShuZxxzR2tZH,6,0.28,0.724,207333,0.647,0.000000,1,0.102,-5.642,1,0.0658,4,0.435,106.96
1,6Qs4SXO9dwPj5GKvVOv8Ki,7,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
1,5iwz1NiezX7WWjnCgY5TH4,8,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
1,25sgk305KZfyuqVBQIahim,9,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
1,4w8niZpiMy6qz1mntFA5uM,10,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
1,116H0KvKr2Zl4RPuVBruDO,11,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
1,2VxeLyX666F8uXCJ0dZF8B,12,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
1,1rqqCSm0Qe4I9rUvWncaom,13,0.193,0.579,190947,0.904,0.000000,5,0.064,-2.729,1,0.0618,4,0.681,82.014
1,2IRZnDFmlqMuOrYOLnZZyc,14,0.259,0.889,180522,0.496,0.000000,4,0.252,-6.365,0,0.0905,4,0.544,86.003
1,6FyRXC8tJUh863JCkyWqtk,15,0.323,0.767,258639,0.709,0.000000,1,0.0676,-4.47,1,0.336,4,0.72,171.993
1,2dpaYNEQHiRxtZbfNsse99,16,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
1,5W83ErFkO3aKAIS1WMi6u0,17,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
1,2xLMifQCjDGFmkHkpNLD9h,18,0.00513,0.834,312820,0.73,0.000000,8,0.124,-3.714,1,0.222,4,0.446,155.008
1,5kfNriitmkNE8mUbZ7gbq8,19,0.606,0.551,210667,0.44,0.000030,10,0.11,-8.559,1,0.0985,4,0.341,167.923
1,0FZ4Dmg8jJJAPJnvBIzD9z,20,0.0521,0.861,228760,0.603,0.000000,8,0.0924,-5.788,0,0.176,4,0.504,98.043
1,5itOtNx0WxtJmi1TQ3RuRd,21,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
1,3Ol2xnObFdKV9pmRD2t9x8,22,0.407,0.791,179449,0.587,0.000000,3,0.148,-5.075,0,0.0413,4,0.536,96.057
1,27rdGxbavYJeBphck5MZAF,23,0.00987,0.601,217467,0.794,0.000001,7,0.388,-5.844,0,0.0671,4,0.244,114.066
1,78QR3Wp35dqAhFEc2qAGjE,24,0.0852,0.897,145543,0.662,0.000000,1,0.534,-6.903,0,0.292,4,0.389,112.511
1,7FGq80cy8juXBCD2nrqdWU,25,0.549,0.632,170770,0.686,0.000000,6,0.2,-7.665,0,0.243,4,0.329,89.949
1,14JzyD6FlBD5z0wV5P07YI,26,0.979,0.498,199931,0.104,0.000079,1,0.0895,-14.08,0,0.0621,3,0.205,124.001
1,7uH27oIt4a6cIFCA8ZPcyG,27,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
1,1xzBco0xcoJEDXktl7Jxrr,28,0.194,0.729,183907,0.625,0.009860,4,0.248,-5.266,1,0.0315,4,0.261,146.034
1,7wFybC8jBH3zE139OpCtpG,29,0.0863,0.663,202093,0.675,0.001330,2,0.117,-12.159,1,0.0359,4,0.176,101.004
1,5JEx7HbmvHQQswJCsoo9rA,30,0.0969,0.574,182623,0.758,0.000000,1,0.395,-5.029,0,0.0621,4,0.492,144.111
1,5600nq7TiBraBX2jobyJ3l,31,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,4,0.509,188.098
1,7dt6x5M1jzdTEt8oCbisTK,32,0.331,0.68,231267,0.578,0.000000,10,0.135,-5.804,1,0.04,4,0.341,145.038
1,3ee8Jmje8o58CHK66QrVC2,33,0.258,0.74,166606,0.613,0.003720,8,0.123,-4.88,1,0.145,4,0.473,75.023
1,7COXchtUOMd6uIT6HvmRaI,34,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
1,3EPXxR3ImUwfayaurPi3cm,35,0.697,0.553,196373,0.586,0.000000,11,0.0813,-6.319,1,0.0362,4,0.443,126.684
1,0s5DNDV6LAKn2u2Ufa3VjQ,36,0.146,0.709,204453,0.771,0.000003,7,0.249,-4.598,1,0.166,4,0.709,174.006
1,7tFiyTwD0nx5a1eklYtX2J,37,0.288,0.392,354320,0.402,0.000000,0,0.243,-9.961,0,0.0536,4,0.228,143.883
1,4BiiOzZCrXEzHRLYcYFiD5,38,0.488,0.773,180120,0.699,0.000004,1,0.0814,-5.982,0,0.0958,4,0.513,104.941
1,7fa9MBXhVfQ8P8Df9OEbD8,39,0.568,0.851,235545,0.541,0.000000,0,0.13,-6.825,1,0.0505,4,0.448,124.959
1,2cYnZNzFRFK0H7vSNxPsUq,40,0.265,0.751,219357,0.665,0.000000,8,0.0515,-3.083,1,0.124,4,0.698,95.239
1,285pBltuF7vW8TeWk8hdRR,41,0.349,0.511,239836,0.566,0.000000,6,0.34,-7.23,0,0.2,4,0.218,83.903
1,6MJUCumnQsQEKbCy28tbCP,42,0.291,0.788,207853,0.771,0.000056,4,0.172,-3.206,0,0.0563,4,0.701,99.038
1,6zeeWid2sgw4lap2jV61PZ,43,0.0765,0.596,229320,0.552,0.334000,0,0.104,-10.278,0,0.097,4,0.112,97.949
1,0JP9xo3adEtGSdUEISiszL,44,0.556,0.921,135090,0.537,0.004040,9,0.102,-5.723,0,0.0804,4,0.711,128.009
1,14mHfNsSHN0FbLftyjrV9g,45,0.107,0.792,195637,0.743,0.000000,7,0.183,-2.806,1,0.0851,4,0.742,150.024
1,2G1tXoGBaEMJ7FKGnkf6ud,46,0.00381,0.8,203161,0.578,0.000000,4,0.367,-5.144,0,0.0485,4,0.367,143.01
1,2LskIZrCeLxRvCiGP8gxlh,47,0.0302,0.703,198903,0.723,0.000002,9,0.126,-5.45,0,0.0412,4,0.288,104.969
1,2t8yVaLvJ0RenpXUIAC52d,48,0.0395,0.837,288624,0.636,0.001250,1,0.342,-7.643,1,0.086,4,0.274,145.972
1,0E9ZjEAyAwOXZ7wJC0PD33,49,0.176,0.694,184560,0.77,0.000011,6,0.118,-5.335,1,0.149,4,0.163,125.905
1,1LiN0Z98FkR1t0m8KmLcAH,50,0.437,0.79,190005,0.631,0.000000,8,0.158,-5.549,0,0.0425,4,0.889,94.039
2,6ocbgoVGwYJhOv1GgI9NsF,1,0.592,0.778,178627,0.317,0.000000,1,0.0881,-10.732,0,0.334,4,0.327,140.048
2,4kV4N9D1iKVxx1KLvtTpjS,2,0.0421,0.726,190440,0.554,0.000000,5,0.106,-5.29,0,0.0917,4,0.335,169.999
2,2VxeLyX666F8uXCJ0dZF8B,3,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
2,5w9c2J52mkdntKOmRLeM2m,4,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
2,6MWtB6iiXyIwun0YzU6DFP,5,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
2,7dbka99KTWke5o9hRp0JoB,6,0.552,0.761,158040,0.479,0.000000,2,0.0704,-5.574,1,0.0466,4,0.912,89.913
2,4NzMOnvSJVNKF7nw5NkXIP,7,0.74,0.905,193143,0.389,0.162000,8,0.106,-14.505,1,0.332,4,0.196,120.046
2,3e9HZxeyfWwjeyPAMmWSSQ,8,0.229,0.717,207320,0.653,0.000000,1,0.101,-5.634,1,0.0658,4,0.412,106.966
2,2dpaYNEQHiRxtZbfNsse99,9,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
2,6Qs4SXO9dwPj5GKvVOv8Ki,10,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
2,5p7ujcrUXASCNwRaWNHR1C,11,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
2,5iwz1NiezX7WWjnCgY5TH4,12,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
2,25sgk305KZfyuqVBQIahim,13,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
2,2JvzF1RMd7lE3KmFlsyZD8,14,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
2,5W83ErFkO3aKAIS1WMi6u0,15,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
2,7uH27oIt4a6cIFCA8ZPcyG,16,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
2,0rTV5WefWd1J3OwIheTzxM,17,0.0501,0.9,197487,0.4,0.000000,0,0.0876,-8.443,1,0.124,4,0.338,136.001
2,4w8niZpiMy6qz1mntFA5uM,18,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
2,7COXchtUOMd6uIT6HvmRaI,19,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
2,44ShclXTOOnYtt5CnCDeGV,20,0.342,0.708,240527,0.691,0.000000,2,0.222,-5.179,1,0.0442,4,0.535,79.99
2,2IRZnDFmlqMuOrYOLnZZyc,21,0.259,0.889,180522,0.496,0.000000,4,0.252,-6.365,0,0.0905,4,0.544,86.003
2,116H0KvKr2Zl4RPuVBruDO,22,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
2,7eBqSVxrzQZtK2mmgRG6lC,23,0.145,0.759,268434,0.73,0.000003,0,0.11,-7.985,0,0.0516,4,0.74,115.007
2,5itOtNx0WxtJmi1TQ3RuRd,24,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
2,1rqqCSm0Qe4I9rUvWncaom,25,0.193,0.579,190947,0.904,0.000000,5,0.064,-2.729,1,0.0618,4,0.681,82.014
2,6FyRXC8tJUh863JCkyWqtk,26,0.323,0.767,258639,0.709,0.000000,1,0.0676,-4.47,1,0.336,4,0.72,171.993
2,2xLMifQCjDGFmkHkpNLD9h,27,0.00513,0.834,312820,0.73,0.000000,8,0.124,-3.714,1,0.222,4,0.446,155.008
2,2t8yVaLvJ0RenpXUIAC52d,28,0.0395,0.837,288624,0.636,0.001250,1,0.342,-7.643,1,0.086,4,0.274,145.972
2,3oh6SCCeLuXhFpEyepla6G,29,0.18,0.906,129264,0.382,0.000000,10,0.113,-12.89,0,0.269,4,0.391,104.025
2,5WHTFyqSii0lmT9R21abT8,30,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
2,7tFiyTwD0nx5a1eklYtX2J,31,0.288,0.392,354320,0.402,0.000000,0,0.243,-9.961,0,0.0536,4,0.228,143.883
2,0PG9fbaaHFHfre2gUVo7AN,32,0.0642,0.747,200890,0.57,0.000000,1,0.0832,-6.711,1,0.081,4,0.65,133.992
2,11cDEev79fPKi6uJCjUhu8,33,0.00791,0.51,226747,0.835,0.000000,3,0.219,-4.673,1,0.0447,4,0.435,140.024
2,7FGq80cy8juXBCD2nrqdWU,34,0.549,0.632,170770,0.686,0.000000,6,0.2,-7.665,0,0.243,4,0.329,89.949
2,3Ol2xnObFdKV9pmRD2t9x8,35,0.407,0.791,179449,0.587,0.000000,3,0.148,-5.075,0,0.0413,4,0.536,96.057
2,0s5DNDV6LAKn2u2Ufa3VjQ,36,0.146,0.709,204453,0.771,0.000003,7,0.249,-4.598,1,0.166,4,0.709,174.006
2,7EQpvVujgytLVY8vKiDHAg,37,0.0276,0.847,267107,0.58,0.054800,1,0.1,-5.316,1,0.0723,4,0.575,137.995
2,63cd4JkwGgYJrbOizbfmsp,38,0.172,0.68,194520,0.559,0.000000,0,0.318,-5.545,1,0.129,4,0.137,202.006
2,7dt6x5M1jzdTEt8oCbisTK,39,0.331,0.68,231267,0.578,0.000000,10,0.135,-5.804,1,0.04,4,0.341,145.038
2,0FZ4Dmg8jJJAPJnvBIzD9z,40,0.0521,0.861,228760,0.603,0.000000,8,0.0924,-5.788,0,0.176,4,0.504,98.043
2,1TEL6MlSSVLSdhOSddidlJ,41,0.78,0.647,171573,0.309,0.000007,7,0.202,-7.948,0,0.0366,4,0.195,87.045
2,4SPu0Ql902hTVXkBoNIYtq,42,0.447,0.737,182000,0.461,0.000000,6,0.268,-6.887,1,0.293,4,0.481,75.005
2,7fa9MBXhVfQ8P8Df9OEbD8,43,0.568,0.851,235545,0.541,0.000000,0,0.13,-6.825,1,0.0505,4,0.448,124.959
2,78QR3Wp35dqAhFEc2qAGjE,44,0.0852,0.897,145543,0.662,0.000000,1,0.534,-6.903,0,0.292,4,0.389,112.511
2,2qxmye6gAegTMjLKEBoR3d,45,0.74,0.652,169354,0.557,0.000000,1,0.124,-5.714,0,0.0318,4,0.483,150.073
2,3EPXxR3ImUwfayaurPi3cm,46,0.697,0.553,196373,0.586,0.000000,11,0.0813,-6.319,1,0.0362,4,0.443,126.684
2,2hloaUoRonYssMuqLCBLTX,47,0.0815,0.758,216893,0.665,0.000157,2,0.216,-5.188,0,0.0774,4,0.643,151.976
2,6ZRuF2n1CQxyxxAAWsKJOy,48,0.367,0.61,201788,0.725,0.000000,8,0.154,-5.131,1,0.15,4,0.291,146.163
2,2cYnZNzFRFK0H7vSNxPsUq,49,0.265,0.751,219357,0.665,0.000000,8,0.0515,-3.083,1,0.124,4,0.698,95.239
2,1wJRveJZLSb1rjhnUHQiv6,50,0.0153,0.581,189487,0.662,0.000000,9,0.111,-5.239,1,0.303,4,0.434,93.023
3,6ocbgoVGwYJhOv1GgI9NsF,1,0.592,0.778,178627,0.317,0.000000,1,0.0881,-10.732,0,0.334,4,0.327,140.048
3,5w9c2J52mkdntKOmRLeM2m,2,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
3,4y3OI86AEP6PQoDE6olYhO,3,0.0427,0.842,181040,0.734,0.000000,1,0.106,-5.065,0,0.0588,4,0.952,137.958
3,3KkXRkHbMCARz0aVfEt68P,4,0.556,0.76,158040,0.479,0.000000,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
3,6MWtB6iiXyIwun0YzU6DFP,5,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
3,2VxeLyX666F8uXCJ0dZF8B,6,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
3,4kV4N9D1iKVxx1KLvtTpjS,7,0.0421,0.726,190440,0.554,0.000000,5,0.106,-5.29,0,0.0917,4,0.335,169.999
3,6Qs4SXO9dwPj5GKvVOv8Ki,8,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
3,25sgk305KZfyuqVBQIahim,9,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
3,5iwz1NiezX7WWjnCgY5TH4,10,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
3,5WHTFyqSii0lmT9R21abT8,11,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
3,7uH27oIt4a6cIFCA8ZPcyG,12,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
3,2dpaYNEQHiRxtZbfNsse99,13,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
3,5W83ErFkO3aKAIS1WMi6u0,14,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
3,2JvzF1RMd7lE3KmFlsyZD8,15,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
3,5icOoE6VgqFKohjWWNp0Ac,16,0.0623,0.791,156347,0.565,0.000000,5,0.156,-3.933,0,0.0439,4,0.181,99.961
3,53CJANUxooaqGOtdsBTh7O,17,0.0361,0.908,113013,0.517,0.000002,1,0.0949,-6.063,1,0.129,4,0.471,136.019
3,7COXchtUOMd6uIT6HvmRaI,18,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
3,5p7ujcrUXASCNwRaWNHR1C,19,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
3,3e9HZxeyfWwjeyPAMmWSSQ,20,0.229,0.717,207320,0.653,0.000000,1,0.101,-5.634,1,0.0658,4,0.412,106.966
3,4NzMOnvSJVNKF7nw5NkXIP,21,0.74,0.905,193143,0.389,0.162000,8,0.106,-14.505,1,0.332,4,0.196,120.046
3,1WSGTYKLEpKfNQYYW5Oymt,22,0.404,0.541,158027,0.468,0.000004,10,0.358,-4.039,0,0.362,4,0.69,95.266
3,0rTV5WefWd1J3OwIheTzxM,23,0.0501,0.9,197487,0.4,0.000000,0,0.0876,-8.443,1,0.124,4,0.338,136.001
3,31UjYv5vLsDkzchJOtUMtW,24,0.252,0.837,184436,0.791,0.000001,4,0.188,-3.157,0,0.0773,4,0.618,91.98
3,7eBqSVxrzQZtK2mmgRG6lC,25,0.145,0.759,268434,0.73,0.000003,0,0.11,-7.985,0,0.0516,4,0.74,115.007
3,5itOtNx0WxtJmi1TQ3RuRd,26,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
3,224EVTFiLsdQignUFLvDeH,27,0.753,0.688,360960,0.62,0.000005,11,0.158,-8.029,0,0.22,4,0.727,170.018
3,2IRZnDFmlqMuOrYOLnZZyc,28,0.259,0.889,180522,0.496,0.000000,4,0.252,-6.365,0,0.0905,4,0.544,86.003
3,1wJRveJZLSb1rjhnUHQiv6,29,0.0153,0.581,189487,0.662,0.000000,9,0.111,-5.239,1,0.303,4,0.434,93.023
3,4txc3txsIt81diMzGhrVPS,30,0.39,0.853,221543,0.351,0.000009,7,0.752,-10.198,1,0.241,4,0.282,118.028
3,1rqqCSm0Qe4I9rUvWncaom,31,0.193,0.579,190947,0.904,0.000000,5,0.064,-2.729,1,0.0618,4,0.681,82.014
3,4w8niZpiMy6qz1mntFA5uM,32,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
3,2qxmye6gAegTMjLKEBoR3d,33,0.74,0.652,169354,0.557,0.000000,1,0.124,-5.714,0,0.0318,4,0.483,150.073
3,6VSaNvPPagk4U5Skxp6XfV,34,0.293,0.777,247161,0.698,0.000023,6,0.0908,-7.706,0,0.0704,4,0.119,119.963
3,6JqpFboOH2bq9pzaYbkKBn,35,0.18,0.764,187200,0.752,0.000000,8,0.0701,-3.713,0,0.0711,4,0.698,100.066
3,116H0KvKr2Zl4RPuVBruDO,36,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
3,1DUSuNhF8P5vUGNPpQiZa5,37,0.543,0.645,166101,0.568,0.266000,5,0.257,-9.127,0,0.0823,4,0.391,84.999
3,0PG9fbaaHFHfre2gUVo7AN,38,0.0642,0.747,200890,0.57,0.000000,1,0.0832,-6.711,1,0.081,4,0.65,133.992
3,4u7EnebtmKWzUH433cf5Qv,39,0.271,0.414,354320,0.404,0.000000,0,0.3,-9.928,0,0.0499,4,0.224,71.105
3,3r1cV21xPMkgCmxk8VqWOB,40,0.877,0.838,135597,0.549,0.000964,9,0.115,-7.145,0,0.0755,4,0.654,114.445
3,6FyRXC8tJUh863JCkyWqtk,41,0.323,0.767,258639,0.709,0.000000,1,0.0676,-4.47,1,0.336,4,0.72,171.993
3,6Hj9jySrnFppAI0sEMCZpJ,42,0.328,0.685,240051,0.692,0.000000,2,0.153,-5.122,1,0.0457,5,0.578,159.966
3,2xLMifQCjDGFmkHkpNLD9h,43,0.00513,0.834,312820,0.73,0.000000,8,0.124,-3.714,1,0.222,4,0.446,155.008
3,63cd4JkwGgYJrbOizbfmsp,44,0.172,0.68,194520,0.559,0.000000,0,0.318,-5.545,1,0.129,4,0.137,202.006
3,7FGq80cy8juXBCD2nrqdWU,45,0.549,0.632,170770,0.686,0.000000,6,0.2,-7.665,0,0.243,4,0.329,89.949
3,0s5DNDV6LAKn2u2Ufa3VjQ,46,0.146,0.709,204453,0.771,0.000003,7,0.249,-4.598,1,0.166,4,0.709,174.006
3,2H4gf1wLxvYreMj1jcaN0k,47,0.705,0.551,196493,0.537,0.000000,11,0.0802,-7.595,1,0.034,4,0.493,126.421
3,7dt6x5M1jzdTEt8oCbisTK,48,0.331,0.68,231267,0.578,0.000000,10,0.135,-5.804,1,0.04,4,0.341,145.038
3,2TIlqbIneP0ZY1O0EzYLlc,49,0.751,0.501,182161,0.405,0.000000,1,0.105,-5.679,1,0.0319,4,0.446,109.891
